0.000000000000000000e+00,1.429098347330892338e+01,1.891239220091903661e+01
1.000000000000000000e+00,2.365243399078052278e+01,3.468639943244822632e+01
2.000000000000000000e+00,1.827065662031879256e+01,3.432745085608719648e+01
3.000000000000000000e+00,2.798351457040268642e+01,4.308533231555911414e+01
4.000000000000000000e+00,5.097983325139148647e+00,2.699980982258941253e+01
5.000000000000000000e+00,2.558727245520742954e+01,3.643103636227253617e+01
6.000000000000000000e+00,1.263348710949879639e+01,2.614367273884874976e+01
7.000000000000000000e+00,2.575466703276429925e+01,3.455117994645897284e+01
8.000000000000000000e+00,2.243064406504538155e+01,3.226990809498071400e+01
9.000000000000000000e+00,1.838762210468966529e+01,5.282105403328647242e+01
1.000000000000000000e+01,2.100644853696167402e+01,5.623121417845563030e+01
1.100000000000000000e+01,2.717400120283993914e+00,7.589428711891981649e+00
1.200000000000000000e+01,2.636387759343276116e+01,5.967345519820014488e+01
