0,2,107.0,354.0,273.0,429.0
0,3,84.0,354.0,273.0,435.0
0,4,61.0,354.0,273.0,440.0
0,5,35.0,354.0,273.0,446.0
0,6,9.0,354.0,273.0,453.0
0,7,0.0,354.0,273.0,458.0
0,8,0.0,354.0,273.0,460.0
0,9,0.0,390.0,98.0,459.0
0,10,0.0,396.0,73.0,459.0
0,11,0.0,402.0,47.0,460.0
0,12,0.0,412.0,20.0,457.0
1,2,308.0,271.0,424.0,308.0
1,3,293.0,271.0,424.0,309.0
1,4,280.0,271.0,424.0,308.0
1,5,267.0,271.0,424.0,308.0
1,6,255.0,271.0,424.0,307.0
1,7,243.0,271.0,424.0,307.0
1,8,230.0,271.0,424.0,308.0
1,9,216.0,271.0,424.0,308.0
1,10,203.0,269.0,308.0,305.0
1,11,190.0,267.0,294.0,304.0
1,12,179.0,265.0,281.0,303.0
1,13,169.0,264.0,268.0,301.0
1,14,156.0,260.0,255.0,299.0
1,15,143.0,258.0,241.0,297.0
1,16,132.0,255.0,229.0,295.0
1,17,122.0,252.0,216.0,293.0
1,18,111.0,249.0,204.0,290.0
1,19,102.0,244.0,191.0,288.0
1,20,92.0,244.0,180.0,285.0
1,21,81.0,245.0,168.0,282.0
2,2,574.0,277.0,663.0,333.0
2,3,567.0,276.0,663.0,338.0
2,4,562.0,276.0,663.0,342.0
2,5,560.0,276.0,663.0,347.0
2,6,555.0,276.0,663.0,352.0
2,7,549.0,276.0,663.0,357.0
2,8,545.0,276.0,663.0,363.0
2,9,541.0,276.0,663.0,369.0
2,10,538.0,276.0,663.0,375.0
2,11,536.0,276.0,663.0,381.0
2,12,533.0,276.0,663.0,388.0
2,13,531.0,276.0,663.0,395.0
2,14,530.0,276.0,663.0,403.0
2,15,528.0,276.0,663.0,410.0
2,16,527.0,276.0,663.0,419.0
2,17,527.0,275.5,663.0,418.5
2,18,527.0,344.0,591.0,436.0
2,19,527.0,350.0,592.0,445.0
2,20,528.0,358.0,594.0,454.0
2,21,529.0,366.0,598.0,465.0
2,22,530.0,373.0,602.0,476.0
2,23,532.0,382.0,607.0,486.0
2,24,534.0,390.0,606.0,498.0
2,25,536.0,399.0,608.0,510.0
2,26,540.0,409.0,631.0,522.0
2,27,544.0,419.0,641.0,534.0
2,28,552.0,430.0,653.0,547.0
2,29,554.0,441.0,666.0,560.0
2,30,559.0,454.0,680.0,574.0
2,31,570.0,480.0,695.0,588.0
2,32,577.0,490.0,712.0,602.0
2,33,593.0,494.0,730.0,617.0
2,34,603.0,499.0,749.0,631.0
2,35,618.0,512.0,770.0,647.0
2,36,633.0,525.0,792.0,661.0
2,37,652.0,538.0,816.0,679.0
2,38,670.0,574.0,841.0,695.0
2,39,690.0,580.0,866.0,714.0
2,40,713.0,595.0,896.0,731.0
2,41,732.0,619.0,926.0,749.0
2,42,760.0,633.0,958.0,749.0
2,43,782.0,636.0,993.0,749.0
2,44,810.0,641.0,999.0,749.0
2,45,840.0,660.0,999.0,749.0
2,46,871.0,675.0,999.0,749.0
2,47,904.0,693.0,999.0,749.0
2,48,947.0,711.0,999.0,749.0
3,17,665.5,261.5,724.5,288.5
3,18,581.0,257.0,735.0,327.0
3,19,581.0,256.0,731.0,327.0
3,20,581.0,254.0,723.0,327.0
3,21,581.0,256.0,712.0,327.0
3,22,581.0,259.0,701.0,327.0
3,23,581.0,262.0,689.0,327.0
3,24,581.0,265.0,677.0,327.0
3,25,567.0,269.0,664.0,327.0
3,26,552.0,270.0,663.0,327.0
3,27,537.0,275.0,663.0,327.0
